Size, Proteins
2,78217,51711
2,51932,51659
2,51542,51541
2,53635,51491
2,65634,51396
2,60462,51201
2,51643,51200
2,53335,51124
2,51934,50766
2,54054,50718
2,51977,50353
2,163315,50312
2,58171,50311
2,72434,50262
2,58013,50252
2,50285,50245
2,78502,50233
2,50269,50177
2,50236,50135
2,51954,50075
2,52785,49984
2,53940,49920
2,50172,49822
2,70146,49788
2,57398,49787
2,97150,49683
2,269510,49653
2,49933,49606
2,78314,49403
2,53828,49241
2,59101,49204
2,52314,49113
2,64266,49095
2,59979,49057
2,112498,49052
2,65137,48673
2,49282,48627
2,204816,48582
2,111961,48469
2,48862,48466
2,65416,48393
2,134458,48313
2,67382,48242
2,48631,47831
2,49319,47584
2,51685,47537
2,50340,47522
2,53766,47441
2,181365,47151
2,183654,47075
2,47365,47070
2,46912,46861
2,94351,46734
2,47445,46691
2,50935,46492
2,67480,46307
2,48101,46277
2,57869,46207
2,46371,46175
2,92214,45995
2,63429,45937
2,70124,45776
2,49873,45764
2,47158,45663
2,58376,45583
2,53357,45506
2,154051,45414
2,82812,45362
2,45231,45216
2,52837,45163
2,45500,45115
2,67447,45091
2,45230,45079
2,45291,45036
2,44970,44946
2,45956,44825
2,101969,44786
2,78146,44720
2,224452,44693
2,44959,44668
2,87642,44489
2,93631,44421
2,94149,44370
2,44395,44043
2,45302,44038
2,74310,44009
2,63952,43895
2,65079,43794
2,217347,43791
2,51729,43517
2,61310,43453
2,91623,43412
2,44195,43243
2,57449,43232
2,57932,43158
2,43134,43065
2,44205,43040
2,61495,42983
2,53917,42905
2,68210,42673
2,74101,42634
2,124065,42622
2,63855,42465
2,45032,42379
2,42412,42344
2,118068,42248
2,191703,42180
2,42235,41555
2,43581,41230
2,42372,41226
2,80403,41217
2,53561,41114
2,198740,41064
2,58198,40819
2,45156,40790
2,42327,40781
2,69603,40780
2,49689,40761
2,302330,40750
2,43467,40628
2,77794,40623
2,175742,40562
2,55246,40529
2,66108,40323
2,150949,40310
2,39717,39715
2,46742,39664
2,57472,39642
2,88940,39614
2,44315,39406
2,40108,39400
2,76909,39367
2,93302,39340
2,81084,39310
2,55375,39309
2,39439,39292
2,54914,38915
2,38856,38729
2,66130,38641
2,51987,38640
2,41301,38596
2,102272,38542
2,53163,38483
2,102112,38476
2,38339,38333
2,38893,38208
2,38280,38200
2,43214,38050
2,223168,38036
2,38625,37704
2,101686,37699
2,72948,37624
2,39366,37489
2,38764,37323
2,38963,37121
2,37133,37029
2,37066,37013
2,38219,36975
2,37480,36903
2,36861,36716
2,36659,36658
2,64763,36562
2,37792,36546
2,37182,36514
2,36622,36508
2,56248,36346
2,47898,36323
2,36073,36064
2,73633,35992
2,40313,35978
2,36008,35962
2,87278,35824
2,71115,35823
2,58636,35744
2,64644,35723
2,39856,35524
2,38509,35478
2,76391,35439
2,36557,35421
2,43981,35268
2,87844,35254
2,53581,35127
2,35511,35029
2,36924,34998
2,41906,34935
2,51502,34933
2,36043,34840
2,35103,34648
2,34656,34633
2,36097,34501
2,57003,34482
2,104594,34210
2,63298,34175
2,37002,34150
2,41169,33975
2,55581,33948
2,33733,33595
2,34534,33586
2,99260,33541
2,43062,33425
2,67580,32719
2,53049,32703
2,34812,32698
2,36558,32644
2,71404,32444
2,71539,32443
2,32402,32273
2,286503,32244
2,40823,32239
2,36298,32180
2,284190,32133
2,119235,32056
2,36072,32044
2,61185,31982
2,34389,31772
2,96158,31400
2,33323,31336
2,31386,31040
2,38211,30873
2,31154,30851
2,30939,30832
2,55554,30595
2,31592,30451
2,44626,30447
2,38150,30187
2,33717,30026
2,32026,30010
2,30568,29913
2,43291,29714
2,75427,29537
2,52698,29496
2,29686,29358
2,82490,29337
2,85986,29317
2,29807,29167
2,29670,28658
2,48916,28583
2,149591,28579
2,35170,28556
2,69936,28290
2,33341,28114
2,33261,28048
2,42345,27831
2,37656,27809
2,118888,27788
2,27787,27786
2,47276,27696
2,41314,27695
2,27960,27655
2,28276,27603
2,81491,27446
2,76318,27135
2,51269,26985
2,39530,26916
2,26898,26897
2,41225,26882
2,73501,26185
2,42591,26053
2,265662,26014
2,28321,25967
2,95690,25932
2,33550,25924
2,36400,25853
2,34497,25750
2,44113,25731
2,37217,25471
2,45250,25302
2,25272,25271
2,33928,25056
2,25468,25043
2,57256,24919
2,73980,24829
2,36783,24584
2,39490,24568
2,66430,24557
2,25867,24518
2,32305,24341
2,41592,24172
2,41470,24145
2,74840,23988
2,55882,23805
2,69328,23584
2,32468,23219
2,29406,23026
2,84541,22635
2,30133,22322
2,28443,22249
2,75818,22241
2,43925,22002
2,26552,21947
2,67374,21881
2,33926,21667
2,22751,21485
2,30967,21282
2,39663,21209
2,42595,21058
2,32410,21032
2,87228,20935
2,85939,20934
2,73595,20925
2,53195,20924
2,25720,20877
2,79783,20755
2,23909,20723
2,42534,20666
2,26922,20469
2,35977,20353
2,36543,20352
2,221490,20331
2,151117,20272
2,28512,20239
2,108321,20089
2,92674,19960
2,23442,19949
2,48001,19948
2,270187,19844
2,26871,19804
2,29157,19538
2,42623,19531
2,75895,19476
2,44255,19337
2,84801,19315
2,89184,19300
2,76832,19299
2,19221,19220
2,58555,19122
2,19497,19119
2,43822,19078
2,18935,18934
2,63273,18687
2,129136,18616
2,18505,18504
2,27719,18348
2,18271,18267
2,18676,18068
2,77009,17933
2,44721,17932
2,57392,17748
2,68570,17742
2,53906,17588
2,396917,17501
2,48190,17448
2,28553,17243
2,30290,17146
2,17170,16887
2,17169,16885
2,60869,16793
